Order_ID;Employee_ID;Customer_ID;Order_Date;Shipped_Date;Shipper_ID;Ship_Name;Ship_Address;Ship_City;Ship_State_Province;Ship_ZIP_Postal_Code;Ship_Country/Region;Shipping_Fee;Taxes;Payment_Type;Paid_Date;Notes;Tax_Rate;Tax_Status;Status_ID
30;9;27;1/15/2006 0:00:00;1/22/2006 0:00:00;2;Karen Toh;789 27th Street;Las Vegas;NV;99999;USA;200.00;0.00;Check;1/15/2006 0:00:00;;0.00;;3
31;3;4;1/20/2006 0:00:00;1/22/2006 0:00:00;1;Christina Lee;123 4th Street;New York;NY;99999;USA;5.00;0.00;Credit Card;1/20/2006 0:00:00;;0.00;;3
32;4;12;1/22/2006 0:00:00;1/22/2006 0:00:00;2;John Edwards;123 12th Street;Las Vegas;NV;99999;USA;5.00;0.00;Credit Card;1/22/2006 0:00:00;;0.00;;3
33;6;8;1/30/2006 0:00:00;1/31/2006 0:00:00;3;Elizabeth Andersen;123 8th Street;Portland;OR;99999;USA;50.00;0.00;Credit Card;1/30/2006 0:00:00;;0.00;;3
34;9;4;2/6/2006 0:00:00;2/7/2006 0:00:00;3;Christina Lee;123 4th Street;New York;NY;99999;USA;4.00;0.00;Check;2/6/2006 0:00:00;;0.00;;3
35;3;29;2/10/2006 0:00:00;2/12/2006 0:00:00;2;Soo Jung Lee;789 29th Street;Denver;CO;99999;USA;7.00;0.00;Check;2/10/2006 0:00:00;;0.00;;3
36;4;3;2/23/2006 0:00:00;2/25/2006 0:00:00;2;Thomas Axen;123 3rd Street;Los Angelas;CA;99999;USA;7.00;0.00;Cash;2/23/2006 0:00:00;;0.00;;3
37;8;6;3/6/2006 0:00:00;3/9/2006 0:00:00;2;Francisco P rez-Olaeta;123 6th Street;Milwaukee;WI;99999;USA;12.00;0.00;Credit Card;3/6/2006 0:00:00;;0.00;;3
38;9;28;3/10/2006 0:00:00;3/11/2006 0:00:00;3;Amritansh Raghav;789 28th Street;Memphis;TN;99999;USA;10.00;0.00;Check;3/10/2006 0:00:00;;0.00;;3
39;3;8;3/22/2006 0:00:00;3/24/2006 0:00:00;3;Elizabeth Andersen;123 8th Street;Portland;OR;99999;USA;5.00;0.00;Check;3/22/2006 0:00:00;;0.00;;3
40;4;10;3/24/2006 0:00:00;3/24/2006 0:00:00;2;Roland Wacker;123 10th Street;Chicago;IL;99999;USA;9.00;0.00;Credit Card;3/24/2006 0:00:00;;0.00;;3
41;1;7;3/24/2006 0:00:00;;;Ming-Yang Xie;123 7th Street;Boise;ID;99999;USA;0.00;0.00;;;;0.00;;0
42;1;10;3/24/2006 0:00:00;4/7/2006 0:00:00;1;Roland Wacker;123 10th Street;Chicago;IL;99999;USA;0.00;0.00;;;;0.00;;2
43;1;11;3/24/2006 0:00:00;;3;Peter Krschne;123 11th Street;Miami;FL;99999;USA;0.00;0.00;;;;0.00;;0
